Name	DefiningManuscriptId	Description	Tech	Tech	OBI_ERO	Category	DB	ACC	URL	CellTissue	CellLine	Species	DOIDTerm	GOTerm	Value	Other	Notes
Transcription profiling of rat insulinoma-beta (INS-1E) cells exposed to the cytokines IL-1-beta and IFN-gamma for six different lengths of time and with or without the inducible NO synthase blocker NMA	14578289	Locally released cytokines contribute to beta cell dysfunction and apoptosis in Type 1 diabetes. In vitro exposure of insulin producing INS-1E cells to the cytokines interleukin (IL)-1beta + interferon (IFN) gamma leads to a significant increase in apoptosis.  To characterize the genetic networks implicated in beta cell dysfunction and apoptosis and its dependence on nitric oxide (NO) production, we performed a time course analysis using the Affymetrix RG U34A microarry.  INS-1E cells were exposed in duplicate to IL-1beta + IFN-gamma for six different time points (1, 2, 4, 8, 12, and 24 h) with or without the inducible NO synthase blocker.	transcription profiling by RT-PCR assay	transcription profiling by array	OBI_0001361	Transcriptomics		Request		pancreatic A cell		mouse			3		
Transcription profiling of rat pancreatic beta-cells in response to cytokine exposure and NF-kappa B activation blocking	11687580	Type 1 diabetes mellitus results from an autoimmune destruction of pancreatic beta-cells. Based on findings suggesting NF-kappa B plays a role in beta cell apoptosis, we blocked NF-kappa B activation in cytokine-exposed FACS sorted beta cells by a recombinant adenovirus (AdI kappa B((SA)2)) containing an inhibitor of NF kappa B alpha (I kappa Bac) super-repressor (S32A/S36A).  The expression profile was then analyzed with the Affymetrix RG U34a microarray.	transcription profiling by RT-PCR assay	transcription profiling by array	OBI_0001361	Transcriptomics		Request		multi fate stem cell		mouse			3		
Transcription profiling of rat pancreatic beta-cells in response to INF gamma and/or IL-1 beta treatment for 6 or 24 hours	11334433	Type 1 diabetes is an autoimmune disease resulting from the selective destruction of insulin-producing beta-cells. Beta cell culture for 6-9 days in the presence of IL-1 beta and interferon (INF) gamma leads to apoptosis.  Primary rat beta-cells were FACS purified and exposed for 6 or 24 h to control condition, IL-1 beta + INF gamma, or IL-1 beta alone (24 h only). The gene expression profile was analyzed by hybridization in duplicate to the Affymetrix RG U34A microarray.	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE98485	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98485		EndoC-betaH1	human		regulation of alternative mRNA splicing, via spliceosome	3		
Transcription profiling of human pancreatic islets from normal and Type 2 diabetic subjects	16096055	Human pancreatic islets isolated from 7 people with normal glucose tolerance, and 5 people with type 2 diabetes. All 12 people were organ donors after either cerebrovascular accident or intracerebral haemorrhage. Normals were required to maintain glucose at least 6.1mM in intensive care. Diabetic subjects were all at least 10 years from diagnosis and not insulin-requiring. For every subject, RNA was isolated, cRNA was made and hybridized to the U133A and U133B Affymetrix arrays (total of 24 arrays). No samples were pooled.	DNA methylation profiling by array assay	transcription profiling by array	OBI_0001332	Epigenomics		Alternate accession		type B pancreatic cell|pancreatic A cell		human			3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5754795/bin/pnas.1713736114.sd01.xlsx	
Transcription profiling of mouse islets treated with PANcreatic DERived factor for 48 or 72 h to elucidate the genetic mechanisms of PANDER-induced cell death	16412588	Expression profiling using the UPenn Mouse PancChip 5.0 was used to elucidate the genetic mechanisms of PANDER-induced cell death in pancreatic islets.  Murine islets were treated with PANDER (PANcreatic DERived factor) for 48 or 72 h (n=4 and n=3 respectively).  Following linear amplification, the RNA was matched for purity using Quantitative PCR.	targeted exome capture	transcription profiling by array	ERO_0001607	Transcriptomics		Request				human			3		
ChIP-Chip and SACO Analysis of Pdx-1 binding in NIT-1 Insulinoma Cells	17761679	The BCBC Promoter Chip 5B was used to identify genomic targets of Pdx-1 binding.  Genomic DNA from mouse NIT-1 insulinoma cells was immunoprecipitated with a Pdx-1 Antibody, PCR amplified, and labeled to the chip.  All hybridizations were versus a common reference sample which was a labeled IgG IP. Additionally a Pdx1 SACO library for NIT-1 cells was generated.	RNA-seq	ChIP-seq	OBI_0001271	Transcriptomics		Request		CD4-positive, alpha-beta T cell		human			4		
Transcription profiling of wild type and Foxa2 knock out mouse mature beta cells	17908556	The winged helix transcription factor Foxa2 regulates Pdx1 gene expression and fetal endocrine pancreas development. We show here by inducible gene ablation that Foxa2 inactivation in mature beta-cells induces hyperinsulinemic hypoglycemia in Foxa2loxP/loxP, Pdx1-CreERT2 adult mice. Mutant beta-cells exhibited a markedly increased pool of docked insulin granules, some of which were engaged in sequential or compound exocytosis, consistent with an increased first phase glucose-stimulated insulin secretion. Expression of multiple genes involved in vesicular trafficking, membrane targeting and fuel-secretion pathways is dependent on Foxa2. In addition, impaired cytosolic Ca2+ oscillations and elevated intracellular cAMP production accompanied this secretory defect, and were likely contributors to the sensitization of the exocytotic machinery. Thus, in the absence of Foxa2, alterations in intracellular second messenger signaling redistribute the insulin granules into the readily releasable pool. We conclude that Foxa2 is required both for the fetal pancreas development and for the function of mature beta-cells.	immunoSEQ	transcription profiling by array	OBI_0001247	Genomics		Request		islet of Langerhans		mouse			3		
Chromatin immunoprecipitation and transcription of mouse liver in the presence or absence of exogenous glucocorticoid to identify direct targets of the glucocorticoid receptor	16110340	The purpose of this study was to identify direct targets of the glucocorticoid receptor (GR) using an orthogonal analysis.  An expression study of mouse livers in the presence or absence of exogenous glucocorticoid complemented a genome-wide location analysis on chromatin from the same livers.  These were hybridized to the BCBC Mouse PancChip 5.0 and the Mouse PromoterChip BCBC-3.0 respectively.	RNA-seq	ChIP-chip by array	OBI_0001271	Transcriptomics	GEO	GSE107617	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107617	type B pancreatic cell		mouse			3		
Chromatin immunoprecipitation of wild type and Foxa2 knock-out mouse liver using anti-HNF6 anitbodies to test whether Foxa2 inhibits HNF6-mediated transcription in the liver	16055718	The aim of this study was to test, in vivo, if Foxa2 inhibits HNF6-mediated transcription in the liver.  We utilized hepatocyte-specific gene ablation of Foxa2 and the Mouse PromoterChip BCBC 3.0 and Mouse PancChip 5.0 cDNA microarrays to investigate HNF6 binding to its target promoters in vivo in the presence or absence of Foxa2.  For the mouse promoter microarray analysis, chromatin immunoprecipitation using anti-HNF6 antibodies was performed on chromatin isolated from Foxa2loxP/loxP Alfp.Cre and control mouse livers.  Along with sheared genomic DNA (common reference), the immunoprecipitated DNA was amplified, labeled and hybridized to the Mouse PromoterChip BCBC 3.0.  For microarray analysis of gene expression, liver RNAs were isolated from three Foxa2loxP/loxP Alfp.Cre and three control mice. RNAs were reverse transcribed, labeled, and hybridized to the Mouse PancChip 5.0.  Overall, our studies demonstrate that HNF6 binds to and regulates its target promoters in vivo in the presence and absence of Foxa2 and that the expression levels of HNF6 targets are not influenced by Foxa2.	cytometry time of flight assay	ChIP-chip by array	OBI_0002115	Cellomics		Alternate accession			MDA-MB-231|HEK293T|THP-1	human			2	https://community.cytobank.org/cytobank/projects/1129	
Transcription profiling of wild type and C/EBPbeta deficient mice during a partial hepatectomy time series to identify transcriptional targets of C/EBPbeta	15317935	The aim of this experiment was to use microarray analysis to compare the response of wild type (WT) and C/EBPbeta deficient (KO) mice during a partial hepatectomy time course in hopes of identifying transcriptional targets of C/EBPbeta. In addition, the WT time course alone was examined to analyze mammalian cellular proliferation in vivo.  In the partial hepatectomy model, quiescent hepatocytes reenter the cell cycle and progress in a synchronous fashion.  This allows for the elucidation of regulatory networks operative in mammalian cell cycle.  (Identification of transcriptional networks during liver regeneration (2004) Journal of Biological Chemistry)	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE109113	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109113	type B pancreatic cell		mouse			3		
Differential expression of representative sorted pancreatic cells	21882062	The goal of this experiment is to identify genes differentially expressed in representative pancreatic FACS-sorted cell types.	mass spectrometry assay	transcription profiling by array	OBI_0000470	Proteomics	ProteomeXchange	PXD006847	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD006847	islet of Langerhans	HeLa	human	type 1 diabetes mellitus		3		
Transcription profiling by array of human FACS-sorted alpha and beta cells	21882062	The goal of this experiment is to identify genes differentially expressed in FACS-sorted Alpha and Beta cells.	genotyping by SNP array assay	transcription profiling by array	OBI_0002031	Genomics		Request				human			4		
Transcription profiling of mouse pancreatic islets on day 14.5 of pregnancy	19574445	The inability of the beta-cell to meet the demand for insulin brought about by insulin resistance leads to type 2 diabetes. In adults, beta-cell replication is one of the mechanisms thought to cause the expansion of beta-cell mass. Efforts to treat diabetes require knowledge of the pathways that drive facultative beta-cell proliferation in vivo. A robust physiological stimulus of beta-cell expansion is pregnancy, and identifying the mechanisms underlying this stimulus may provide therapeutic leads for the treatment of type 2 diabetes. The peak in beta-cell proliferation during pregnancy occurs on day 14.5 of gestation in mice. Using advanced genomic approaches, we globally characterize the gene expression signature of pancreatic islets on day 14.5 of gestation during pregnancy. We identify a total of 1,907 genes as differentially expressed in the islet during pregnancy. We demonstrate that the islet's ability to compensate for relative insulin deficiency during metabolic stress is associated with the induction of both proliferative and survival pathways. A comparison of the genes induced in three different models of islet expansion suggests that diverse mechanisms can be recruited to expand islet mass. The identification of many novel genes involved in islet expansion during pregnancy provides an important resource for diabetes researchers to further investigate how these factors contribute to the maintenance of not only islet mass, but ultimately beta-cell mass.	Imaging cytometry	transcription profiling by array	ERO_0001655	Cellomics		https://doi.org/10.17632/v58yj49pfr.1		peripheral blood mononuclear cell		human			3		
ChIP profiling by array of histone modifications in normal human islets	20181961	This experiment used ChIP-seq technology to create a genome-wide profile of histone marks in normal human pancreatic islets.  In the current work we analyzed two histone marks associated with gene expression (H3K4me3, H3K4me1) and marks associated with gene repression(H3K27me3). Each mark was anayzed using samples obtained from four donors (n=4). Chromatin Immunoprecipitations (ChIPs) for histone marks were performed using specific anti-histone antibodies. Enrichment of each sample was calulated with respect to its  individual input using qPCR.  Samples were sequenced with Solexa and sequenced DNA from both Input (n=4) and ChIP (n = 4) samples were aligned to the NCBI Genome Build 36.1 Ð Hg18 to determine regions that were enriched for binding by modified histones.  Chromatin modifications were related to gene expression levels.	RNA-seq	ChIP-chip by array	OBI_0001271	Transcriptomics	GEO	GSE102371	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102371	islet of Langerhans		human	type 1 diabetes mellitus		4		
ChIP-Seq of human normal pancreatic islets with anti-histone antibodies to analyse histone modifications	20181961	This experiment used ChIP-seq technology to create a genome-wide profile of histone marks in normal human pancreatic islets.  In the current work we analyzed two histone marks associated with gene expression (H3K4me3, H3K4me1) and marks associated with gene repression(H3K27me3). Each mark was anayzed using samples obtained from four donors (n=4). Chromatin Immunoprecipitations (ChIPs) for histone marks were performed using specific anti-histone antibodies. Enrichment of each sample was calulated with respect to its  individual input using qPCR.  Samples were sequenced with Solexa and sequenced DNA from both Input (n=4) and ChIP (n = 4) samples were aligned to the NCBI Genome Build 36.1 Ð Hg18 to determine regions that were enriched for binding by modified histones.	transcription profiling by array assay	ChIP-seq	OBI_0001463	Transcriptomics		Alternate accession		islet of Langerhans		human	type 1 diabetes mellitus|type 2 diabetes mellitus		3	https://www.dropbox.com/s/93mk5tzl5fdyo6b/Abnormal%20islet%20sphingolipid%20metabolism%20in%20type%201%20diabetes%2C%20RNA%20expression.xlsx?dl=0	
Chromatin immunoprecipitation of mouse MIN6 pancreatic beta cells to identify Pdx1 targets	19855005	The aim of this experiment was to use highthroughput chromatin immunoprecipitation followed by hybridization to promoter microarrays to obtain a comprehensive list of sites in the genome that are physically occupied by Pdx1.  Chromatin was prepared from Min6 insulinoma cells and immunoprecipitated with Pdx1 or control antiserum.  The precipitated chromatin was then purified, amplified and directly sequenced using Illumina technology.	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE110935	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110935	islet of Langerhans		human|mouse	cystic fibrosis		3		
Transcription profiling of the islets from Pdx1+/- mice compared to islets isolated from Pdx1 +/+ littermates	19855005	The aim of this experiment was to use global gene expression profiling to identify genes that are differentially expressed in the islets from Pdx1+/- mice compared to islets isolated from Pdx1 +/+ littermates. The Pdx1 null mutation consists of a nuclear targeted _-galactosidase cassette fused in-frame with the N terminus of PDX-1.	genotyping by high throughput sequencing assay	transcription profiling by array	OBI_0001247	Genomics		Request				mouse	diabetes mellitus		3		
Chromatin immunoprecipitation of mouse pancreatic beta-cells	20395405	To gain insights into how pancreatic beta-cells are programmed in vivo, we profiled key histone methylations (H3K4/K27me3) in embryonic stem cells, multipotent progenitors of the nascent embryonic pancreas, purified beta-cells, and 10 other adult tissues (all under normal, untreated conditions). For these cells we also purified RNA to analyze tissue specfic genome wide transcription levels in relation to histone modifications. Corresponding RNA microarrays can be found under accession E-TABM-877.	mass spectrometry assay	ChIP-chip by array	OBI_0000470	Metabolomics		Request		blood plasma		mouse	diabetes mellitus		3		
Transcriptional profiling of mouse pancreatic beta-cells, embryonic stem cells and 10 other normal adult tissues	20395405	To gain insights into how pancreatic beta-cells are programmed in vivo, we profiled key histone methylations (H3K4/K27me3) in embryonic stem cells, multipotent progenitors of the nascent embryonic pancreas, purified beta-cells, and 10 other adult tissues (all under normal, untreated conditions). For these cells we also purified RNA to analyze tissue specfic genome wide transcription levels in relation to histone modifications.	immunoSEQ	transcription profiling by array	OBI_0001247	Genomics		Request		regulatory T cell		mouse	type 1 diabetes mellitus		3		
Pancreatic beta cell identity is maintained by DNA methylation-mediated repression of Arx	21497756	Methylated DNA Immunoprecipitation (meDIP) was used to pull down regions of methylated genomic DNA from beta and alpha cell lines (MIN6 and alpha-TC1, respectively). Agilent promoter tiling array was used to look for regions of differential methylation around key endocrine cell fate determination genes.	immunoSEQ	methylation profiling by array	OBI_0001247	Genomics		Request		activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human		mouse	type 1 diabetes mellitus		3		
Expression data of human eGFP-SOX17+ endoderm cells	21362573	Using homologous recombination in human ESC, we inserted an enhanced green fluorescent protein (eGFP) transgene into a locus encoding a postulated marker of human endoderm, SOX17 in H9 human embryonic stem cells. This allowed purification of SOX17+ hESC endodermal progeny by fluorescence activated cell sorting (FACS) to generate microarray gene expression profile. Using Wnt3 and Activin to differentiate hSOX17-2 to stage 1 cells, and subsequently FGF10 and cyclopamine to stage 2 cells,  we isolated eGFP+ cells by FACS at each stage, performed microarray analysis.	mass spectrometry assay	transcription profiling by array	OBI_0000470	Proteomics	ProteomeXchange	PXD008844	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD008844	cerebral cortex		rat			1		
ChIP-seq and RNA-seq of coding RNA of the progression of human embryonic stem cells to beta cells to characterize the epigenetic programs that underlie pancreas differentiation	23318056	To characterize the epigenetic programs that underlie pancreas differentiation, we have generated genome-scale maps of H3K4me and H3K27me3 patterns by ChIP-seq and determined expression profiles by RNA-seq from undifferentiated human ESCs, four intermediate differentiated stages (definitive endoderm, primitive gut tube, posterior foregut, and pancreatic endoderm), and in vitro-differentiated polyhormonal cells. Antibodies against CD142 and CD200 were used to select for targeted pancreatic and endocrine populations at the end of the culture. Cells at the end of culture were implanted into mice for further differentiation into mature insulin-producing beta-cells and compared to sorted polyhormonal cells by RNA-seq and ChIP-seq analysis. For the experimental factor values the time points are along a differentiation protocol from stem cells to tissue. Values in the CD antibody column refer to antibodies used for cell sorting. In this column 'not applicable' refers to samples that were not sorted.  'none' refers to samples that were sorted, but did not bind to either of the two antibodies, CD200 and CD142. Values in the histone antibody column are about the ChIP process.	bisulfite sequencing	ChIP-seq	OBI_0000748	Epigenomics		Request		type B pancreatic cell		mouse			3		
Reprogramming of mouse gall bladder cells into pancreatic beta cells	23562832	Mouse gall bladder cells from MIP-GFP mice were expanded in vitro and transduced with adenoviral vectors expressing the transcription factors Neurog3, Pdx1 and MafA. Reprogrammed GFP+ cells were then FACS-sorted for RNA isolation.	circularized chromosome conformation capture assay	RNA-seq of coding RNA	OBI_0002458	Genomics		Request		islet of Langerhans		mouse			4		
ChIP-seq of human and mouse pancreas islets to investigate Pdx1 occupancy		We performed global location analysis of Pdx1 occupancy in mouse and human islets.	RNA-seq	ChIP-seq	OBI_0001271	Transcriptomics	GEO	GSE107910	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107910	thymus		mouse			3		
Transcription profiling by high throughput sequencing of human and mouse pancreatic islet-cells	23040067	The aim of this experiment was to obtain a detailed transcriptional landscape of human and mouse islet-cells, including strand information, as well an epigenetic map of transcriptionally active chromatin.	RNA-seq	RNA-seq of coding RNA	OBI_0001271	Transcriptomics		Request		type B pancreatic cell		human			3		
Pancreatic islet epigenomics reveals enhancer clusters that are enriched in Type 2 diabetes risk variants		We combined ChIP-seq of chromatin marks and key islet transcription factor with RNA-seq in human islets to map cis-regulatory networks in this primary tissue. The output of this project provides a reference map to dissect genetic variants that alter the susceptibility for Type 2 diabetes, and assist efforts to generate new beta-cells by transcriptional programming strategies	mass spectrometry assay	ChIP-seq	OBI_0000470	Proteomics		Request				mouse		insulin receptor signaling pathway	3		
ChIP-seq of pancreatic progenitor cells derived in vitro from human embryonic stem cells in order to study the epigenomic mechanisms involved in pancreas development	25915126	Active regulatory regions in the human embryonic pancreatic progenitors were profiled by integration of transcription factor and histone modification ChIP-seq datasets. These were obtained from pancreatic progenitor cells derived in vitro from human embryonic stem cells. The purpose of this work was to study the epigenomic mechanisms involved in pancreas development.	mass spectrometry assay	ChIP-seq	OBI_0000470	Proteomics	ProteomeXchange	PXD010150	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010150	islet of Langerhans	HeLa	human	type 1 diabetes mellitus		3		
Cytotoxicity Study of Rat INS1 cell lines		Cytokines IL-1 and IFN-gamma have been shown to be the primary effectors of beta-cell destruction during the immune response. The aim of this study was to identify the gene expression changes that are associated with resistance of beta cells to cytokines. INS-1 rat insulinoma cells were grown in increasing doses of cytokines until a resistance phenotype had developed. RNA was prepared from these cytokine resistant sublines as well as the original, cytokine-sensitive parental INS-1 cells in Dr. Chris Newgard's lab, quantified and sent frozen in water. 3-7 biological replicates per condition were sent for the following three conditions: (i) 834/40, Cytokine-sensitive (CS), (ii) 833/15 and 833/117, Cytokine resistant grown in the absence of cytokines (CRu), (iii) 833/15C and 833/117C: Cytokine Resistant Grown in the Presence of Cytokines (CRt). Additional files available.	ATAC-seq	transcription profiling by array	OBI_0002039	Epigenomics	GEO	GSE79468	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79468	type B pancreatic cell|pancreatic A cell|pancreatic acinar cell|pancreatic ductal cell|pancreatic endocrine cell		human			5		
