Notes	DefiningManuscriptId	Role	Name	Type	Description	RRID	AssayCategory	Applications	Dependencies	CompatibleTools	CellsTestedWith	BioSampleType	Url
	PMID30109329 	Producer	Microfluidic-enabled quantitative measurements of insulin release dynamics from single islets	DeviceEquipment	This modified microfluidic platform is an improvement over previously developed ones that have been developed for measurement of insulin secretion from islets in that it allows for comparable single islet measurements and high temporal resolution monitoring. The microfluidic system enabled quantitative, inter-islet comparisons of insulin secretion rates, as well as the observation of dynamic patterns of release, in the study of the effects of branched fatty acid esters of hydroxy fatty acids (FAHFA).		ERO_0000121				UBERON_0000006		
	PMID30210768	Producer	Nanowell-mediated 2D liquid chromatography separations for in-depth proteome profiling	Assay	The nanowell platform reduces the amount of protein required for multidimensional peptide separation, increasing the possible depth of coverage. Peptides are first separated using high-pH LC and the effluent is concatenated into 4 or 12 nanowells. The contents of each nanowell are reconstituted in LC buffer and collected for subsequent separation and analysis by low-pH nanoLC-MS/MS. The nanowell platform minimizes peptide losses to surfaces in offline 2D LC fractionation, enabling >5800 proteins to be confidently identified from just 50 ng of cell digest. As proof of principle, the platform was combined with a recently developed nanowell-based sample preparation workflow to do deep proteome profiling of >6000 protein groups from small populations of cells, including ∼650 HeLa cells and 10 single human pancreatic islet thin sections (∼1000 cells) from a pre-symptomatic type 1 diabetic donor.		OBI_0000051				UBERON_0000006		
	PMID30224090	Producer	3-D physiomimetic extracellular matrix hydrogels for islet culture	DeviceEquipment	This islet-on-a-chip platform’s main key feature is extending the cell survival and culture time through minimizing disruption of islet-matrix interactions following isolation. Protocols for decellularized extracellular matrix (ECM) hydrogels were tested and refined with both rodent and human islets. Islets encapsulated in the optimized gels showed enhanced functionality and retention. These supportive 3-D physiomimetic ECM hydrogels can be leveraged within microfluidic platforms for the long-term culture of islets.		ERO_0000957	OBI_0600024			UBERON_0000006	human|mouse|rat	
	PMID30298069	Producer	ImmuneDB, a novel tool for the analysis, storage, and dissemination of immune repertoire sequencing data	Software	ImmuneDB is a system for storing and analyzing high-throughput immune receptor sequencing data. Unlike most existing tools, which utilize flat-files, ImmuneDB stores data in a well-structured MySQL database, enabling efficient data queries. It can take raw sequencing data as input and annotate receptor gene usage, infer clonotypes, aggregate results, and run common downstream analyses such as calculating selection pressure and constructing clonal lineages. Alternatively, pre-annotated data can be imported and analyzed data can be exported in a variety of common Adaptive Immune Receptor Repertoire (AIRR) file formats. ImmuneDB results were comparable to another pipeline, MiXCR, while providing the additional benefits of integrating other common tools and storing data in a database. ImmuneDB is freely available on GitHub at https://github.com/arosenfeld/immunedb, on PyPi at https://pypi.org/project/ImmuneDB, and a Docker container is provided at https://hub.docker.com/r/arosenfeld/immunedb.	RRID:SCR_017125		ERO_0001309					https://immunedb.com
	PMID30644734	Producer	Electrochemical aptamer-based sensor for real-time monitoring of insulin	DeviceEquipment	The electrochemical, aptamer-based (E-AB) sensor for the real-time monitoring of insulin utilizes a redox label-modified guanine-rich aptamer which folds into a G-quadruplex for specific recognition of insulin. To develop a reproducible E-AB sensor employing insulin aptamer probes for the detection of insulin, 10% sodium dodecyl sulfate (SDS) pretreatment is crucial as it disrupts interstrand G-quartets. After sensor pretreatment with 10% SDS, a more uniform sensor response is obtained. Upon introduction of the insulin target, binding-induced steric hindrance quantitatively reduces the efficiency of electron transfer of a distal-end redox label leading to the rapid signal change within ∼60 s. Testing demonstrates that the E-AB insulin exhibits a limit of detection of 20 nM and can be used to discriminate against both glucagon and somatostatin in Krebs-Ringer bicarbonate buffer, typically used in perfusion experiments. These results demonstrate that this assay has potential for rapid, specific, and quantitative analysis of insulin.		ERO_0000957						
	PMID30760760	Producer	Mass cytometry-based phagocytosis assay	Assay	The mass cytometry-based assay enables the simultaneous detection of phagocytic events in combination with up to 40 other protein markers. The approach facilitates the simultaneous study of single-cell phenotypes, phagocytic activity, signaling and transcriptional events in complex cell mixtures.		OBI_0001977				CL_0000235	human	
	PMID30571786	Producer	Microfluidic device to attain high spatial and temporal control of oxygen	DeviceEquipment 	The microfluidic device can control both the spatial and temporal variations in oxygen tensions to better replicate in vivo biology. The device consists of three parallel connected tissue chambers and an oxygen scavenger channel placed adjacent to these tissue chambers. Experimentally measured oxygen maps were constructed using phosphorescent lifetime imaging microscopy and compared with values from a computational model. For testing, it was coupled with a 3D sprouting angiogenesis assay. The simple design provides consistent control of spatial and temporal oxygen gradients in the tissue microenvironment and can be used to investigate important oxygen-dependent biological processes.	RRID:SCR_017131	ERO_0000121				CL_0002618		
	PMID30843680	Producer 	Boosting to Amplify Signal with Isobaric Labeling (BASIL) Strategy for comprehensive quantitative phosphoproteomic characterization of small populations of cells	Assay 	"Phosphoproteomic analysis of small cell populations is a challenge due to insufficient MS signal intensity, and the BASIL innovation of using isobaric labeling to ""boost"" a sample (e.g., a biological sample mimicking the study samples but available in a much larger quantity) in multiplexed analysis enables sensitive and comprehensive quantitative phosphoproteomic measurements with <100 000 cells. The BASIL strategy increases the overall number of quantifiable phosphorylation sites more than 4-fold. Good reproducibility in quantification was demonstrated with a median CV of 15.3% and Pearson correlation coefficient of 0.95 from biological replicates. A proof-of-concept experiment demonstrated the ability of BASIL to distinguish acute myeloid leukemia cells based on the phosphoproteome data. Moreover, in a pilot application, this strategy enabled quantitative analysis of over 20 000 phosphorylation sites from human pancreatic islets treated with interleukin-1β and interferon-γ. Together, this signal boosting strategy provides an attractive solution for comprehensive and quantitative phosphoproteome profiling of relatively small populations of cells where traditional phosphoproteomic workflows lack sufficient sensitivity."		OBI_0000470		ERO_0002176		CL_0001064		
	PMID30713110	Producer 	Imaging Mass Cytometry (IMC) for human endocrine pancreas and immune cells	Assay  	This IMC assay uses a panel of 33 antibodies that allows for the quantification of key cell types including pancreatic exocrine cells, islet cells, immune cells, and stromal components. The assay was applied to 12 pancreata obtained from donors with clinically diagnosed T1D and 6 pancreata from non-diabetic controls. In the pancreata from donors with T1D, it could visualize significant alterations in islet architecture, endocrine cell composition, and immune cell presentation. The IMC assay can be used to investigate complex events on the cellular level that will provide new insights on the pathophysiology of T1D.		OBI_0001977				CL_0008024|CL_0000542|CL_1001433|CL_0002574|CL_0000738	human	
	PMID30713109	Producer  	Imaging Mass Cytometry (IMC) for islet and immune cells	Assay  	The IMC assay comprises a novel panel of 35 metal-tagged antibodies targeting key islet cell antigens as well as immune cell markers. The IMC single-cell and spatial resolution allowed pseudotime analysis of islets through T1D progression from snapshot data to reconstruct the evolution of β cell loss and insulitis.		OBI_0001977				CL_0008024|CL_0000738	human	
	PMID30498206	Producer  	Array methylome deconvolution program	CodePipeline	A standalone program for deconvolution of array methylome. It can output results and a stacked bar plot of the cell types proportions in the input sample.			OBI_0200175					https://github.com/nloyfer/meth_atlas
	PMID29238404	Producer	Penn machine learning benchmark (PMLB) repository	SoftwareDb 	An accessible, curated, and developing public benchmark resource  with 165 datasets that can be used to evaluate strengths and weaknesses of different machine learning methodologies. All datasets have been preprocessed to follow a standard row-column format and can be retrieved with an open source Python interface. Similar to the UCI ML repository, these datasets fall into a small number of categories based on feature types, class imbalance, dimensionality, etc. So far PMLB contains no datasets with missing values and only a handful of highly imbalanced datasets.	RRID:SCR_017138		OBI_0002587					https://pypi.org/project/pmlb/
	PMID29218887	Producer	Heuristic Identification of Biological Architectures for simulating Complex Hierarchical Interactions (HIBACHI)	SoftwareDb 	A method and open-source software for simulating complex biological and biomedical data to aid in comparing and evaluating machine learning methods.			OBI_0002587					https://github.com/epistasislab/hibachi
	PMID30030120 	Producer	ReBATE (Relief-Based Algorithm Training Environment) Python package	SoftwareDb 	An open-source framework to compare relief-based feature selection algorithms (RBAs) used in data mining. The tool should facilitate the accessibility of various RBAs and promote their ongoing development and application. RBAs can be useful for selected applications such as: feature selection in any bioinformatics problem with potentially predictive features and a target outcome variable, detect feature interactions without exhaustive examination of all feature combinations, detecting features involved in heterogeneous patterns of association such as genetic heterogeneity (e.g. disease subgroups). 			OBI_0002587					https://github.com/EpistasisLab/ReBATE
	PMID30936567	Producer	Pseudodynamics modeling framework (MATLAB implementation)	CodePipeline	A set of scripts to implement pseudodynamics, a mathematical framework that models population distribution shifts across trajectories to quantify selection pressure, population expansion, and developmental potentials. It was applied to time-resolved single-cell RNA-sequencing of T-cell and pancreatic beta cell maturation to characterize proliferation and apoptosis rates and identify key developmental checkpoints, data inaccessible to existing approaches.			ERO_0100272					https://github.com/theislab/pseudodynamics
	PMID30713109 	Producer	Scripts for IF-to-IMC coordinate transformation	CodePipeline	Python script for transforming ImageJ coordinates of areas of interest to IMC coordinates.			OBI_0200000					https://doi.org/10.17632/cydmwsfztj.1
	PMID30713109 	Producer	Scripts for neighborhood analysis	CodePipeline	R and histoCAT  functions for neighborhood analysis. Custom scripts import cell type and pseudotime information into histoCAT. An expansion of 3 pixels was used to detect cell neighbors. The presence of significant cell type association or avoidance was determined using 999 random permutations of cell type labels and a significance threshold of p < 0.01. All other parameters and methods were chosen as suggested defaults.			ERO_0000220					https://doi.org/10.17632/cydmwsfztj.1
	PMID30078552	Producer	Script for the prediction of peptide splice products	CodePipeline	A custom Python script to predict peptide splice products, used for islet RNA-seq datasets and mTEC RNA-seq dataset.			ERO_0100190					https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc2.docx
