Name	DefiningManuscriptId	Role	RRID	Description	Antigen	AntibodyConjugate	Applications	Rating	Dilution	DilutionUnits	Source	Uniprot	VendorName	VendorCat	CloneName	Clonality	IsoType	Type	AntigenSpecies	TargetCells	PositiveControl	UsageNotes	RaisedIn
Mouse-monoclonal anti-Pancreatic Polypeptide	PMID30713109	Contact	AB_11127208		Pancreatic Polypeptide		cytometry time of flight assay	5			STAR resources		R and D Systems	MAB62971		monoclonal		primary	human	pancreatic PP cell		Conjugated to 153Eu metal tag as part of novel Imaging Mass Cytometry Panel.	mouse
Mouse monoclonal anti-cleaved PARP (Poly [ADP-Ribose] Polymerase)	PMID30713109	Contact	AB_394438		cleaved PARP (Poly [ADP-Ribose] Polymerase)		cytometry time of flight assay	5			STAR resources		BD Biosciences	552597		monoclonal		primary	human	apoptosis fated cell		Conjugated to 176Yb metal tag as part of novel Imaging Mass Cytometry Panel.	mouse
Goat polyclonal anti Pdx1	PMID30713109	Contact	AB_355257		Pdx1		cytometry time of flight assay	5			STAR resources		R and D Systems	AF2419		polyclonal		primary	human	type B pancreatic cell|pancreatic D cell|pancreatic ductal cell		Conjugated to 158Gd metal tag as part of novel Imaging Mass Cytometry Panel.	goat
Mouse monoclonal anti-Proinsulin	PMID30713109	Contact	AB_306453		Proinsulin		cytometry time of flight assay	5			STAR resources		Abcam	ab8301		monoclonal		primary	human	type B pancreatic cell		Conjugated to 154Sm metal tag as part of novel Imaging Mass Cytometry Panel.	mouse
Rabbit polyclonal anti-Prohormone Convertase 2	PMID30713109	Contact	AB_2722624		Prohormone Convertase 2		cytometry time of flight assay	5			STAR resources		Merck	AB15601-I		polyclonal		primary	human	pancreatic A cell		Conjugated to 144Nd metal tag as part of novel Imaging Mass Cytometry Panel.	rabbit
Rabbit polyclonal anti-PTPRN	PMID30713109	Contact	AB_1079714		PTPRN		cytometry time of flight assay	5			STAR resources		Sigma-Aldrich	HPA007179		polyclonal		primary	human	pancreatic endocrine cell		Conjugated to 174Yb metal tag as part of novel Imaging Mass Cytometry Panel.	rabbit
Rabbit polyclonal anti-phospho Rb (Ser807/811)	PMID30713109	Contact	AB_331472		phospho Rb (Ser807/811)		cytometry time of flight assay	5			STAR resources		Cell Signaling Technology	9308		polyclonal		primary	human	cell cycle		Conjugated to 175Yb metal tag as part of novel Imaging Mass Cytometry Panel.	rabbit
Rabbit polyclonal anti-Somatostatin	PMID30713109	Contact	AB_10013726		Somatostatin		cytometry time of flight assay	5			STAR resources		Dako	A0566		polyclonal		primary	human	pancreatic D cell		Conjugated to 159Tb metal tag as part of novel Imaging Mass Cytometry Panel.	rabbit
Rabbit monoclonal anti-Synaptophysin	PMID30713109	Contact	AB_2286949		Synaptophysin		cytometry time of flight assay	5			STAR resources		Abcam	ab32127		monoclonal		primary	human	pancreatic endocrine cell		Conjugated to 160Gd metal tag as part of novel Imaging Mass Cytometry Panel.	rabbit
Donkey polyclonal anti-rabbit IgG, Alexa Fluor 488	PMID30713109	Contact	AB_2535792		IgG	Alexa Fluor 488	immunohistochemistry	5			STAR resources		Thermo Fisher Scientific	A-21206		polyclonal		secondary	rabbit				donkey
